"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 20 23:41:37 MSK 2024","Thu Jun 20 23:41:53 MSK 2024","15930","","MTSbyLes16.OnlinePaymentTests","","MTSbyLes16.OnlinePaymentTests","testCardNumberInputFieldCommunicationServices","id_20. Поле ввода номера карты: проверка плейсхолдера для варианта оплаты «Услуги связи»",""
"passed","Thu Jun 20 23:40:21 MSK 2024","Thu Jun 20 23:40:36 MSK 2024","15493","","MTSbyLes16.OnlinePaymentTests","","MTSbyLes16.OnlinePaymentTests","testPlaceholderPhoneInputFieldCommunicationServices","id_5. Проверка плейсхолдера поля ввода телефона для варианта «Услуги связи»",""
"passed","Thu Jun 20 23:37:50 MSK 2024","Thu Jun 20 23:37:54 MSK 2024","3515","","MTSbyLes16.OnlinePaymentTests","","MTSbyLes16.OnlinePaymentTests","testPlaceholderPhoneInputFieldHomeInternet","id_8. Проверка плейсхолдера поля ввода телефона для варианта «Домашний интернет»",""
"passed","Thu Jun 20 23:39:38 MSK 2024","Thu Jun 20 23:39:46 MSK 2024","7579","","MTSbyLes16.OnlinePaymentTests","","MTSbyLes16.OnlinePaymentTests","testPhoneNumberDisplayedInPayDescriptionCommunicationServices","id_19. Описание платежа: проверка корректности отображения номера телефона, вариант оплаты «Услуги связи»",""
"passed","Thu Jun 20 23:36:06 MSK 2024","Thu Jun 20 23:36:10 MSK 2024","3932","","MTSbyLes16.OnlinePaymentTests","","MTSbyLes16.OnlinePaymentTests","testPlaceholderSumInputFieldCommunicationServices","id_6. Проверка плейсхолдера поля ввода суммы для варианта «Услуги связи»",""
"passed","Thu Jun 20 23:34:53 MSK 2024","Thu Jun 20 23:35:27 MSK 2024","34310","","MTSbyLes16.OnlinePaymentTests","","MTSbyLes16.OnlinePaymentTests","testPlaceholderEmailInputFieldArrears","id_16. Проверка плейсхолдера поля ввода email для варианта «Задолженность»",""
"passed","Thu Jun 20 23:35:27 MSK 2024","Thu Jun 20 23:35:31 MSK 2024","3550","","MTSbyLes16.OnlinePaymentTests","","MTSbyLes16.OnlinePaymentTests","testPlaceholderInvoiceNumberInputFieldInstallment","id_11. Проверка плейсхолдера поля ввода номера счета для варианта «Рассрочка»",""
"passed","Thu Jun 20 23:32:40 MSK 2024","Thu Jun 20 23:33:21 MSK 2024","41524","","MTSbyLes16.OnlinePaymentTests","","MTSbyLes16.OnlinePaymentTests","testPlaceholderEmailInputFieldHomeInternet","id_10. Проверка плейсхолдера поля ввода email для варианта «Домашний интернет»",""
"passed","Thu Jun 20 23:36:10 MSK 2024","Thu Jun 20 23:36:13 MSK 2024","2914","","MTSbyLes16.OnlinePaymentTests","","MTSbyLes16.OnlinePaymentTests","testPlaceholderInvoiceNumberInputFieldArrears","id_14. Проверка плейсхолдера поля ввода номера счета для варианта «Задолженность»",""
"passed","Thu Jun 20 23:34:08 MSK 2024","Thu Jun 20 23:34:49 MSK 2024","41050","","MTSbyLes16.OnlinePaymentTests","","MTSbyLes16.OnlinePaymentTests","testMaestroIconCardNumberField","id_28. Поле номер карты: проверка наличия иконки платежной системы Maestro для варианта оплаты «Услуги связи»",""
